         32941545 function calls (32512039 primitive calls) in 43.008 seconds

   Ordered by: cumulative time
   List reduced from 1385 to 65 due to restriction <65>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.006    0.006   45.824   45.824 match_runner.py:263(run_match)
      220    0.011    0.000   40.568    0.184 game_loop.py:792(step)
      179    0.006    0.000   40.176    0.224 game_loop.py:250(run)
      178    0.006    0.000   32.759    0.184 game_loop.py:106(run)
  317/301    0.041    0.000   31.336    0.104 operation_executor.py:35(execute_batch)
       94    0.001    0.000   28.512    0.303 match_runner.py:196(resolve)
       94    0.001    0.000   28.511    0.303 resolution_engine.py:96(resolve)
       94    0.001    0.000   28.510    0.303 resolution_engine.py:111(_resolve_registered)
       94    0.005    0.000   28.509    0.303 resolution_engine.py:196(_resolve)
       94    0.013    0.000   27.913    0.297 resolution_engine.py:486(_execute_operations)
      291    0.045    0.000   27.817    0.096 operation_executor.py:22(execute)
805635/784313    2.498    0.000   27.172    0.000 stat.py:246(get_stat)
    38199    1.173    0.000   21.653    0.001 event_bus.py:144(capture_single_card)
      317    0.098    0.000   21.619    0.068 event_bus.py:129(capture_card_information)
805635/784313    8.726    0.000   20.093    0.000 stat.py:179(_get_modifier_pipeline)
       36    0.000    0.000   19.694    0.547 game_loop.py:135(_process_action)
       36    0.028    0.001   19.693    0.547 match_runner.py:224(process)
       36    0.003    0.000   19.665    0.546 action_processor.py:34(process)
175170/132385    0.640    0.000   16.151    0.000 state.py:143(refresh_continuous_effects)
175170/132385    0.375    0.000   15.467    0.000 continuous_rules.py:71(refresh_continuous_effects)
9552/8908    0.683    0.000   14.149    0.002 indexed_register.py:122(synchronise)
    20835    1.558    0.000   12.817    0.001 card_register.py:174(index_values)
    63476    0.689    0.000   10.697    0.000 card.py:956(get_ability_defs)
       38    0.001    0.000    9.186    0.242 game_loop.py:168(_resolve_top_stack)
     1225    0.008    0.000    6.994    0.006 state.py:132(synchronise_registers)
   199581    0.228    0.000    6.559    0.000 card.py:917(get_types)
6689/6237    0.075    0.000    6.490    0.001 indexed_register.py:203(query)
     2067    0.006    0.000    5.166    0.002 state.py:175(query_players)
     1585    0.015    0.000    5.093    0.003 state.py:271(is_game_over)
      531    0.010    0.000    4.428    0.008 decision_maker.py:48(decide)
      531    0.004    0.000    4.344    0.008 decision_maker.py:77(_decide)
    21727    0.245    0.000    4.113    0.000 card.py:992(get_activatable_ability_defs)
       77    0.001    0.000    4.091    0.053 game_loop.py:583(execute_with_processor)
2229/1238    0.007    0.000    3.820    0.003 option_space.py:17(__iter__)
      469    0.001    0.000    3.819    0.008 game_loop.py:126(_get_player_action)
2229/1229    0.023    0.000    3.818    0.003 measurement.py:66(measure_options)
      469    0.008    0.000    3.818    0.008 player.py:360(get_action)
2229/1229    0.021    0.000    3.795    0.003 registry.py:46(route_decision_generation)
25096/22255    0.026    0.000    3.788    0.000 {built-in method builtins.next}
    63476    0.433    0.000    3.564    0.000 lands.py:206(basic_land_abilities)
      993    0.019    0.000    3.455    0.003 action_pipelines.py:48(generate)
    60602    0.138    0.000    3.397    0.000 card.py:1113(get_power)
    64673    0.136    0.000    3.390    0.000 card.py:1127(get_toughness)
        8    0.002    0.000    3.069    0.384 resolution_engine.py:351(resolve_simultaneous)
   805635    0.950    0.000    3.022    0.000 modifier.py:908(get_modifiers)
    72472    0.100    0.000    2.963    0.000 card.py:745(get_controller)
    92717    0.110    0.000    2.949    0.000 card.py:936(get_subtypes)
805635/784313    0.875    0.000    2.665    0.000 modifier.py:1001(get_modifiers)
  1804598    1.223    0.000    2.560    0.000 {built-in method builtins.isinstance}
   830772    0.598    0.000    2.487    0.000 <frozen _collections_abc>:804(get)
      407    0.003    0.000    2.446    0.006 action_pipelines.py:18(generate)
      407    0.004    0.000    2.442    0.006 action_pipelines.py:27(_generate)
  625/337    0.007    0.000    2.399    0.007 ability.py:877(generate_actions)
  625/337    0.020    0.000    2.389    0.007 ability_action_gen_pipeline.py:139(generate)
      233    0.005    0.000    2.325    0.010 modular_agent.py:270(decide_priority)
    63056    0.081    0.000    2.319    0.000 card.py:1065(get_trigger_defs)
      273    0.001    0.000    2.210    0.008 resolution_engine.py:582(_resolve_state)
      275    0.006    0.000    2.209    0.008 sba_resolver.py:43(resolve)
      233    0.025    0.000    2.199    0.009 modular_agent.py:147(generate)
 1105/529    0.007    0.000    2.165    0.004 plan_validation.py:33(legal_plans)
 1105/529    0.048    0.000    2.140    0.004 exec_plan_gen_pipeline.py:38(generate)
   805635    1.028    0.000    2.122    0.000 modifier.py:845(get_modifiers)
      235    0.006    0.000    1.909    0.008 resolution_engine.py:671(settle)
   835197    0.928    0.000    1.890    0.000 __init__.py:80(__getitem__)
  665/377    0.005    0.000    1.882    0.005 action_pipelines.py:86(generate)


         32941545 function calls (32512039 primitive calls) in 43.008 seconds

   Ordered by: internal time
   List reduced from 1385 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
805635/784313    8.726    0.000   20.093    0.000 stat.py:179(_get_modifier_pipeline)
805635/784313    2.498    0.000   27.172    0.000 stat.py:246(get_stat)
    20835    1.558    0.000   12.817    0.001 card_register.py:174(index_values)
